<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20070828,000000,57.21,57.89,56.70,56.95,1348300,0
PETR3.SA,D,20070829,000000,57.20,58.15,57.20,57.70,1971700,0
PETR3.SA,D,20070830,000000,57.70,59.17,56.57,58.51,1670600,0
PETR3.SA,D,20070831,000000,59.86,61.85,59.60,61.00,2433500,0
PETR3.SA,D,20070903,000000,61.00,61.95,60.91,61.30,230800,0
PETR3.SA,D,20070904,000000,61.30,63.16,61.00,62.50,1375900,0
PETR3.SA,D,20070905,000000,61.51,62.66,61.50,62.25,1491800,0
PETR3.SA,D,20070906,000000,62.71,64.05,62.71,63.20,1158100,0
PETR3.SA,D,20070910,000000,62.50,62.81,61.35,61.71,1535000,0
PETR3.SA,D,20070911,000000,62.51,64.18,62.25,63.61,1358000,0
PETR3.SA,D,20070912,000000,63.30,65.17,63.30,63.80,1368300,0
PETR3.SA,D,20070913,000000,64.06,65.50,64.06,64.55,1011100,0
PETR3.SA,D,20070914,000000,63.51,65.11,63.18,63.25,962800,0
PETR3.SA,D,20070917,000000,63.30,63.90,62.32,63.48,1174500,0
PETR3.SA,D,20070918,000000,64.22,66.92,64.01,66.00,1456100,0
PETR3.SA,D,20070919,000000,67.02,67.83,66.06,66.30,1274100,0
PETR3.SA,D,20070920,000000,67.00,67.02,65.72,66.01,1420300,0
PETR3.SA,D,20070921,000000,67.00,68.55,67.00,68.55,2165300,0
PETR3.SA,D,20070924,000000,68.92,70.05,68.58,70.00,2646300,0
PETR3.SA,D,20070925,000000,69.64,69.64,68.41,68.80,1925600,0
PETR3.SA,D,20070926,000000,69.00,70.00,68.10,69.33,1644100,0
PETR3.SA,D,20070927,000000,70.00,70.78,69.40,70.78,2629800,0
PETR3.SA,D,20070928,000000,70.50,70.83,68.78,69.30,1461700,0
PETR3.SA,D,20071001,000000,69.20,71.00,69.20,70.46,2038600,0
PETR3.SA,D,20071002,000000,70.55,71.40,69.51,70.76,1668700,0
PETR3.SA,D,20071003,000000,70.15,71.05,68.56,68.56,2592700,0
PETR3.SA,D,20071004,000000,69.00,69.93,66.94,69.20,1119700,0
PETR3.SA,D,20071005,000000,70.00,72.34,70.00,71.87,1508100,0
PETR3.SA,D,20071008,000000,71.34,72.19,70.65,72.19,1874300,0
PETR3.SA,D,20071009,000000,72.19,73.63,72.18,73.46,3062600,0
PETR3.SA,D,20071010,000000,73.39,75.65,73.00,75.59,3355600,0
PETR3.SA,D,20071011,000000,75.55,77.24,73.78,74.95,1717800,0
PETR3.SA,D,20071015,000000,77.65,77.80,76.05,77.50,1575800,0
PETR3.SA,D,20071016,000000,76.95,78.40,76.50,76.50,3652700,0
